nr,avg_time_in_cluster,percent_time_in_cluster,nr_nodes,nr_instances,is_extreme,prob_to_extreme,avg_time_to_extreme,path_to_extreme
0,9.199999999999989,0.3066871124741645,41,1,2,0.0,0.0,0.0
1,18.200000000000045,0.6067071138075887,85,1,2,0.0,0.0,0.0
2,9.799999999999997,0.32668844589639295,48,1,2,0.0,0.0,0.0
3,12.399999999999977,0.41336089072604765,56,1,2,0.0,0.0,0.0
4,0.0,0.0,1,1,2,0.0,0.0,0.0
5,9.0,0.3000200013334222,37,1,2,0.0,0.0,0.0
6,6.400000000000091,0.21334755650376994,30,1,2,0.0,0.0,0.0
7,3.5,0.23334888992599506,34,2,2,0.0,0.0,0.0
8,6.0,0.20001333422228146,28,1,2,0.0,0.0,0.0
9,0.8000000000000114,0.026668444562971242,5,1,2,0.0,0.0,0.0
10,1.0,0.06667111140742715,9,2,2,0.0,0.0,0.0
11,2.0,0.06667111140742715,10,1,2,0.0,0.0,0.0
12,1.6000000000000227,0.053336889125942484,8,1,2,0.0,0.0,0.0
13,4.800000000000001,0.16001066737782518,25,1,2,0.0,0.0,0.0
14,5.0,0.1666777785185679,17,1,2,0.0,0.0,0.0
15,2.800000000000182,0.09333955597040408,13,1,2,0.0,0.0,0.0
16,5.399999999999977,0.18001200080005256,19,1,2,0.0,0.0,0.0
17,25.800000000000182,0.8600573371558164,74,1,0,0.0,2999.8,270.0
18,45.400000000000034,1.5134342289485976,158,1,1,0.8,0.0,1.0
19,18.0,0.6000400026668444,62,1,0,6.944725288665087e-09,147.5999999999999,7.0
20,23.200000000000045,0.7733848923261565,66,1,1,0.8333333333333334,0.0,1.0
21,16.699999999999932,1.113407560504029,96,2,0,6.579123245815278e-24,148.0,7.0
22,26.59999999999991,0.8867257817187781,84,1,0,0.024691358024691357,43.0,3.0
23,20.199999999999818,0.6733782252150082,79,1,1,0.9,0.0,1.0
24,22.0,0.7333822254816987,85,1,0,8.374561945990517e-06,87.39999999999986,5.0
25,45.40000000000009,1.5134342289485994,136,1,0,0.004169829622132254,104.20000000000005,4.0
26,37.200000000000045,1.2400826721781466,81,1,0,0.004765519568151147,67.0,3.0
27,25.19999999999999,0.8400560037335818,71,1,1,0.96,0.0,1.0
28,25.4,0.846723114874325,83,1,0,0.014705882352941176,13.299999999999999,2.0
29,45.0,1.500100006667111,119,1,0,0.0,2999.8,270.0
30,38.40000000000009,1.2800853390226046,101,1,0,0.0,109.59999999999991,6.0
31,38.59999999999991,1.2867524501633412,98,1,1,0.038461538461538464,0.0,1.0
32,39.599999999999966,1.3200880058670568,125,1,0,0.9040601503759399,39.60000000000008,3.0
33,36.200000000000045,1.206747116474433,107,1,0,4.048620155824973e-31,319.1,14.0
34,28.39999999999999,0.9467297819854654,66,1,0,7.209357795295294e-05,62.59999999999998,3.0
35,35.799999999999955,1.1934128941929447,104,1,0,2.9448122636361e-26,191.89999999999998,9.0
36,27.200000000000045,0.9067271151410108,81,1,0,6.537483225272143e-24,164.69999999999993,8.0
37,33.0,1.100073338222548,102,1,0,9.319026150747152e-29,227.69999999999993,10.0
38,18.800000000000068,0.6267084472298176,73,1,0,3.4042998224547674e-07,81.19999999999993,5.0
39,44.0,1.4667644509633975,127,1,0,7.612111265270541e-05,86.79999999999984,5.0
40,0.39999999999997726,0.013334222281484674,3,1,2,0.0,0.0,0.0
41,0.1999999999998181,0.006667111140736652,1,1,2,0.0,0.0,0.0
42,0.7999999999999545,0.026668444562969348,4,1,2,0.0,0.0,0.0
43,1.7999999999997272,0.06000400026667534,7,1,2,0.0,0.0,0.0
44,17.400000000000006,0.5800386692446164,56,1,1,0.010416666666666666,0.0,1.0
45,21.200000000000017,0.7067137809187284,64,1,0,0.0001240079365079365,17.400000000000006,2.0
46,8.0,0.2666844456297086,35,1,0,0.7968253968253969,45.400000000000034,2.0
47,17.799999999999955,0.5933728915261002,40,1,0,8.191023701336824e-16,195.3000000000003,12.0
48,14.400000000000034,0.4800320021334767,61,1,0,4.88267127062695e-09,166.39999999999986,8.0
49,14.800000000000182,0.493366224414967,42,1,0,8.345125801013013e-16,165.30000000000007,10.0
50,15.200000000000045,0.5067004466964479,38,1,0,8.296036825712937e-16,180.10000000000025,11.0
51,25.199999999999932,0.8400560037335799,67,1,0,9.444826392584517e-06,100.79999999999995,5.0
52,21.600000000000023,0.7200480032002141,64,1,0,3.472362644332543e-08,125.99999999999989,6.0
53,16.0,0.5333688912594172,36,1,0,0.012171796209354895,26.59999999999991,2.0
54,19.199999999999932,0.6400426695112984,61,1,0,0.011971437424015718,42.59999999999991,3.0
55,26.59999999999991,0.8867257817187781,65,1,1,0.9859154929577465,0.0,1.0
56,27.000000000000227,0.9000600040002742,63,1,0,4.234155649138064e-09,53.89999999999998,5.0
57,26.0,0.8667244482965529,66,1,0,7.093356930861062e-14,139.30000000000007,9.0
58,21.0,0.7000466697779851,62,1,0,7.11478701222318e-14,118.30000000000007,8.0
59,16.799999999999955,0.5600373358223866,52,1,0,4.216365079183701e-09,80.9000000000002,6.0
60,20.59999999999991,0.6867124474964967,49,1,0,1.771581966043572e-11,97.70000000000016,7.0
61,15.800000000000182,0.5267017801186806,42,1,0,0.0,2999.8,270.0
62,23.600000000000364,0.7867191146076526,61,1,0,0.0,2999.8,270.0
63,0.09999999999990905,0.006667111140736652,2,2,1,0.9897959183673469,0.0,1.0
64,39.0,1.3000866724448297,103,1,0,0.0,2999.8,270.0
65,17.40000000000009,0.5800386692446192,51,1,0,0.0,2999.8,270.0
66,2.2000000000000455,0.07333822254817139,9,1,1,0.008,0.0,1.0
67,21.199999999999818,0.7067137809187218,73,1,0,0.0,2999.8,270.0
68,22.0,0.7333822254816987,68,1,1,0.002336448598130841,0.0,1.0
69,25.399999999999977,0.8467231148743242,67,1,0,0.002327598414047012,22.0,2.0
70,20.600000000000136,0.6867124474965043,58,1,1,0.0016835016835016834,0.0,1.0
71,12.0,0.4000266684445629,43,1,0,0.002305217660065791,47.39999999999998,3.0
72,20.200000000000045,0.6733782252150158,55,1,0,9.723437442232698e-20,234.70000000000016,14.0
73,21.59999999999991,0.7200480032002102,69,1,0,1.0112374939922005e-17,213.10000000000025,13.0
74,25.0,0.8333888925928394,60,1,0,2.3684843684935003e-22,266.30000000000007,16.0
75,11.399999999999864,0.38002533502233027,38,1,0,2.383195451527622e-22,254.9000000000002,15.0
76,21.19999999999999,0.7067137809187275,63,1,0,0.005651804100635689,44.400000000000034,3.0
77,21.19999999999999,0.7067137809187275,68,1,0,0.005707762557077625,23.200000000000045,2.0
78,22.399999999999636,0.746716447763172,57,1,1,0.9931506849315068,0.0,1.0
79,18.799999999999727,0.6267084472298062,54,1,0,0.991195663898177,22.399999999999636,2.0
80,21.59999999999991,0.7200480032002102,58,1,0,0.0026015634223049266,41.19999999999936,3.0
81,28.40000000000009,0.9467297819854688,75,1,1,0.6666666666666666,0.0,1.0
82,14.599999999999909,0.9733982265484306,88,2,0,0.2222222222222222,28.40000000000009,2.0
83,20.40000000000009,0.68004533635576,60,1,0,0.0,89.19999999999982,5.0
84,19.59999999999991,0.6533768917927831,66,1,0,0.0,69.59999999999991,4.0
85,20.59999999999991,0.6867124474964967,68,1,0,0.0012626262626262625,20.600000000000136,2.0
86,10.200000000000045,0.34002266817788,34,1,0,5.921210921233751e-23,291.30000000000007,17.0
87,23.59999999999991,0.7867191146076374,72,1,0,0.0011724386724386723,41.200000000000045,3.0
88,22.59999999999991,0.7533835589039238,57,1,0,8.374561945990516e-05,64.79999999999995,4.0
89,23.800000000000182,0.7933862257483891,56,1,0,1.4892248650472336e-05,149.60000000000014,5.0
90,14.400000000000091,0.9600640042669571,89,2,0,0.9542857142857144,25.19999999999999,2.0
91,13.299999999999999,0.8867257817187812,73,2,1,0.015625,0.0,1.0
92,18.6,0.6200413360890726,73,1,0,0.0,38.699999999999996,3.0
93,20.0,1.3334222281485433,77,2,0,0.02816326530612245,7.0,2.0
94,7.0,0.23334888992599506,16,1,1,0.9857142857142858,0.0,1.0
95,17.899999999999977,1.1934128941929447,97,2,0,0.028022448979591833,27.0,3.0
96,9.0,0.3000200013334222,35,1,0,0.00023352040816326529,44.89999999999998,4.0
97,16.800000000000182,0.5600373358223941,60,1,0,0.0,2999.8,270.0
98,15.800000000000182,0.5267017801186806,32,1,0,0.0,2999.8,270.0
99,26.600000000000364,0.8867257817187933,85,1,0,0.0,2999.8,270.0
100,17.200000000000273,0.5733715581038826,48,1,0,0.0,2999.8,270.0
101,23.199999999999818,0.7733848923261489,47,1,0,0.0,2999.8,270.0
102,28.40000000000009,0.9467297819854688,83,1,0,0.038124156545209176,38.59999999999991,2.0
103,10.599999999999966,0.3533568904593628,40,1,0,0.9006867916058805,79.20000000000005,4.0
104,9.799999999999983,0.3266884458963925,34,1,0,0.013443086441878813,89.80000000000001,5.0
105,16.40000000000009,0.5467031135409057,47,1,0,3.985360465890208e-31,355.30000000000007,15.0
106,30.799999999999983,1.0267351156743776,90,1,1,0.0078125,0.0,1.0
107,31.799999999999997,1.0600706713780919,81,1,0,7.233796296296296e-05,30.799999999999983,2.0
108,17.600000000000136,0.5867057803853636,41,1,0,9.275882511160359e-29,260.69999999999993,11.0
109,29.59999999999991,0.986732448829919,64,1,0,0.0,2999.8,270.0
110,4.399999999999977,0.14667644509633898,20,1,1,0.001366120218579235,0.0,1.0
111,25.200000000000045,0.8400560037335837,67,1,1,0.9846153846153847,0.0,1.0
112,33.0,1.100073338222548,82,1,0,0.0025246548323471403,25.200000000000045,2.0
113,22.600000000000023,0.7533835589039276,62,1,1,0.9973544973544974,0.0,1.0
114,17.199999999999932,0.5733715581038713,39,1,0,0.003957755941882926,22.600000000000023,2.0
115,22.199999999999932,0.7400493366224392,57,1,0,9.514788069566626e-06,78.60000000000002,4.0
116,20.399999999999977,0.6800453363557563,56,1,0,9.56308648616341e-06,58.200000000000045,3.0
117,18.0,0.6000400026668444,58,1,0,2.127825775205874e-05,39.799999999999955,3.0
118,23.399999999999977,0.780052003466897,73,1,0,2.110665889921956e-05,57.799999999999955,4.0
119,17.200000000000273,0.5733715581038826,56,1,1,0.9951923076923076,0.0,1.0
120,25.0,0.8333888925928394,49,1,0,7.673998348728025e-05,61.79999999999984,4.0
121,17.200000000000045,0.5733715581038751,58,1,0,7.56032819543877e-05,130.79999999999984,6.0
122,18.399999999999977,0.613374224948329,65,1,0,7.71462060759058e-07,147.9999999999999,7.0
123,11.799999999999955,0.7867191146076374,47,2,0,0.0,2999.8,270.0
124,9.400000000000091,0.31335422361491067,27,1,0,0.0,2999.8,270.0
125,8.799999999999727,0.29335289019267036,31,1,0,2.11495010816243e-05,83.19999999999936,5.0
126,20.40000000000009,0.68004533635576,50,1,0,0.0025802391319581647,62.79999999999927,4.0
127,4.800000000000011,0.16001066737782557,24,1,1,0.16666666666666666,0.0,1.0
128,11.0,0.36669111274084937,35,1,0,1.8023394488238235e-05,90.99999999999997,4.0
129,21.200000000000045,0.7067137809187294,45,1,0,2.307713488820235e-29,297.9,13.0
130,19.59999999999991,0.6533768917927831,57,1,0,9.23085395528094e-29,278.30000000000007,12.0
